SiteID, 17152.0,Site Timezone,-6.0,Data Timezone,-6.0
Longitude, -95.205444
Latitude, 35.03545
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2011,1,1,17,50,1.614,4.7700000000000005
2011,1,1,17,55,1.772,4.8950000000000005
2011,1,1,18,0,1.891,4.989
2011,1,1,18,5,1.93,5.0200000000000005
2011,1,1,18,10,1.949,5.035
2011,1,1,18,15,1.976,5.056
2011,1,1,18,20,2.0420000000000003,5.1080000000000005
2011,1,1,18,25,2.119,5.1690000000000005
2011,1,1,18,30,2.194,5.221
2011,1,1,18,35,2.298,5.279
2011,1,1,18,40,2.482,5.383
2011,1,1,18,45,2.727,5.5200000000000005
2011,1,1,18,50,2.9,5.618
2011,1,1,18,55,2.998,5.673
2011,1,1,19,0,3.068,5.713
2011,1,1,19,5,3.096,5.728
2011,1,1,19,10,3.069,5.713
2011,1,1,19,15,3.02,5.6850000000000005
2011,1,1,19,20,2.966,5.655
2011,1,1,19,25,2.923,5.63
2011,1,1,19,30,2.9130000000000003,5.6240000000000006
2011,1,1,19,35,2.864,5.597
2011,1,1,19,40,2.783,5.551
2011,1,1,19,45,2.805,5.563
2011,1,1,19,50,2.887,5.609
2011,1,1,19,55,2.995,5.67
2011,1,1,20,0,3.142,5.752
2011,1,1,20,5,3.274,5.8260000000000005
2011,1,1,20,10,3.334,5.859
2011,1,1,20,15,3.27,5.823
2011,1,1,20,20,3.0700000000000003,5.71
2011,1,1,20,25,2.826,5.573
2011,1,1,20,30,2.581,5.4350000000000005
2011,1,1,20,35,2.326,5.292
2011,1,1,20,40,2.1470000000000002,5.188
2011,1,1,20,45,2.082,5.136
2011,1,1,20,50,2.001,5.072
2011,1,1,20,55,1.967,5.045
2011,1,1,21,0,1.998,5.069
2011,1,1,21,5,2.049,5.109
2011,1,1,21,10,2.126,5.17
2011,1,1,21,15,2.242,5.243
2011,1,1,21,20,2.335,5.295
2011,1,1,21,25,2.356,5.307
2011,1,1,21,30,2.362,5.3100000000000005
2011,1,1,21,35,2.329,5.292
2011,1,1,21,40,2.269,5.258
2011,1,1,21,45,2.188,5.212
2011,1,1,21,50,2.091,5.142
2011,1,1,21,55,2.007,5.075
2011,1,1,22,0,1.942,5.023
2011,1,1,22,5,1.845,4.947
2011,1,1,22,10,1.703,4.8340000000000005
2011,1,1,22,15,1.522,4.69
2011,1,1,22,20,1.352,4.556
2011,1,1,22,25,1.198,4.434
2011,1,1,22,30,0.882,4.184
2011,1,1,22,35,0.644,3.879
2011,1,1,22,40,0.47400000000000003,3.6470000000000002
2011,1,1,22,45,0.356,3.485
2011,1,1,22,50,0.267,3.363
2011,1,1,22,55,0.162,3.22
2011,1,1,23,0,0.082,3.067
2011,1,1,23,5,0.07200000000000001,2.954
2011,1,1,23,10,0.064,2.85
2011,1,1,23,15,0.054,2.728
2011,1,1,23,20,0.041,2.573
2011,1,1,23,25,0.032,2.472
2011,1,1,23,30,0.028,2.42
2011,1,1,23,35,0.018000000000000002,2.301
2011,1,1,23,40,0.006,2.161
2011,1,1,23,45,0.0,2.069
2011,1,1,23,50,0.001,2.096
2011,1,1,23,55,0.006,2.157
2011,1,2,0,0,0.006,2.161
2011,1,2,0,5,0.006,2.154
2011,1,2,0,10,0.005,2.145
2011,1,2,0,15,0.0,2.081
2011,1,2,0,20,0.0,1.977
2011,1,2,0,25,0.0,1.883
2011,1,2,0,30,0.0,1.837
2011,1,2,0,35,0.0,1.828
2011,1,2,0,40,0.0,1.852
2011,1,2,0,45,0.0,1.889
2011,1,2,0,50,0.0,1.922
2011,1,2,0,55,0.0,1.9040000000000001
2011,1,2,1,0,0.0,1.819
2011,1,2,1,5,0.0,1.752
2011,1,2,1,10,0.0,1.709
2011,1,2,1,15,0.0,1.645
2011,1,2,1,20,0.0,1.605
2011,1,2,1,25,0.0,1.565
2011,1,2,1,30,0.0,1.541
2011,1,2,1,35,0.0,1.547
2011,1,2,1,40,0.0,1.578
2011,1,2,1,45,0.0,1.614
2011,1,2,1,50,0.0,1.611
2011,1,2,1,55,0.0,1.584
2011,1,2,2,0,0.0,1.575
2011,1,2,2,5,0.0,1.578
2011,1,2,2,10,0.0,1.559
2011,1,2,2,15,0.0,1.55
2011,1,2,2,20,0.0,1.584
2011,1,2,2,25,0.0,1.666
2011,1,2,2,30,0.0,1.748
2011,1,2,2,35,0.0,1.794
2011,1,2,2,40,0.0,1.803
2011,1,2,2,45,0.0,1.794
2011,1,2,2,50,0.0,1.809
2011,1,2,2,55,0.0,1.8980000000000001
2011,1,2,3,0,0.0,2.032
2011,1,2,3,5,0.005,2.145
2011,1,2,3,10,0.014,2.249
2011,1,2,3,15,0.02,2.322
2011,1,2,3,20,0.023,2.356
2011,1,2,3,25,0.026000000000000002,2.3890000000000002
2011,1,2,3,30,0.03,2.447
2011,1,2,3,35,0.036000000000000004,2.5140000000000002
2011,1,2,3,40,0.04,2.56
2011,1,2,3,45,0.04,2.557
2011,1,2,3,50,0.043000000000000003,2.597
2011,1,2,3,55,0.048,2.661
2011,1,2,4,0,0.051000000000000004,2.688
2011,1,2,4,5,0.053,2.719
2011,1,2,4,10,0.051000000000000004,2.695
2011,1,2,4,15,0.043000000000000003,2.597
2011,1,2,4,20,0.031,2.457
2011,1,2,4,25,0.018000000000000002,2.298
2011,1,2,4,30,0.014,2.2520000000000002
2011,1,2,4,35,0.021,2.334
2011,1,2,4,40,0.027,2.408
2011,1,2,4,45,0.029,2.4290000000000003
2011,1,2,4,50,0.026000000000000002,2.395
2011,1,2,4,55,0.023,2.353
2011,1,2,5,0,0.01,2.2
2011,1,2,5,5,0.0,2.029
2011,1,2,5,10,0.0,1.956
2011,1,2,5,15,0.0,1.965
2011,1,2,5,20,0.0,1.965
2011,1,2,5,25,0.0,1.9160000000000001
2011,1,2,5,30,0.0,1.895
2011,1,2,5,35,0.0,1.8920000000000001
2011,1,2,5,40,0.0,1.8
2011,1,2,5,45,0.0,1.7
2011,1,2,5,50,0.0,1.6480000000000001
2011,1,2,5,55,0.0,1.602
2011,1,2,6,0,0.0,1.62
2011,1,2,6,5,0.0,1.571
2011,1,2,6,10,0.0,1.553
2011,1,2,6,15,0.0,1.565
2011,1,2,6,20,0.0,1.428
2011,1,2,6,25,0.0,1.336
2011,1,2,6,30,0.0,1.4040000000000001
2011,1,2,6,35,0.0,1.422
2011,1,2,6,40,0.0,1.2630000000000001
2011,1,2,6,45,0.0,1.153
2011,1,2,6,50,0.0,1.196
2011,1,2,6,55,0.0,1.1500000000000001
2011,1,2,7,0,0.0,0.995
2011,1,2,7,5,0.0,0.876
2011,1,2,7,10,0.0,0.757
2011,1,2,7,15,0.0,0.644
2011,1,2,7,20,0.0,0.628
2011,1,2,7,25,0.0,0.625
2011,1,2,7,30,0.0,0.622
2011,1,2,7,35,0.0,0.5740000000000001
2011,1,2,7,40,0.0,0.445
2011,1,2,7,45,0.0,0.442
2011,1,2,7,50,0.0,0.458
2011,1,2,7,55,0.0,0.47000000000000003
2011,1,2,8,0,0.0,0.482
2011,1,2,8,5,0.0,0.512
2011,1,2,8,10,0.0,0.534
2011,1,2,8,15,0.0,0.5730000000000001
2011,1,2,8,20,0.0,0.631
2011,1,2,8,25,0.0,0.656
2011,1,2,8,30,0.0,0.653
2011,1,2,8,35,0.0,0.641
2011,1,2,8,40,0.0,0.628
2011,1,2,8,45,0.0,0.622
2011,1,2,8,50,0.0,0.601
2011,1,2,8,55,0.0,0.634
2011,1,2,9,0,0.0,0.656
2011,1,2,9,5,0.0,0.6990000000000001
2011,1,2,9,10,0.0,0.738
2011,1,2,9,15,0.0,0.763
2011,1,2,9,20,0.0,0.796
2011,1,2,9,25,0.0,0.8140000000000001
2011,1,2,9,30,0.0,0.8240000000000001
2011,1,2,9,35,0.0,0.8270000000000001
2011,1,2,9,40,0.0,0.799
2011,1,2,9,45,0.0,0.766
2011,1,2,9,50,0.0,0.75
2011,1,2,9,55,0.0,0.747
2011,1,2,10,0,0.0,0.741
2011,1,2,10,5,0.0,0.72
2011,1,2,10,10,0.0,0.68
2011,1,2,10,15,0.0,0.65
2011,1,2,10,20,0.0,0.631
2011,1,2,10,25,0.0,0.665
2011,1,2,10,30,0.0,0.732
2011,1,2,10,35,0.0,0.769
2011,1,2,10,40,0.0,0.772
2011,1,2,10,45,0.0,0.769
2011,1,2,10,50,0.0,0.772
2011,1,2,10,55,0.0,0.753
2011,1,2,11,0,0.0,0.735
2011,1,2,11,5,0.0,0.741
2011,1,2,11,10,0.0,0.756
2011,1,2,11,15,0.0,0.775
2011,1,2,11,20,0.0,0.79
2011,1,2,11,25,0.0,0.811
2011,1,2,11,30,0.0,0.839
2011,1,2,11,35,0.0,0.854
2011,1,2,11,40,0.0,0.872
2011,1,2,11,45,0.0,0.909
2011,1,2,11,50,0.0,0.967
2011,1,2,11,55,0.0,1.046
2011,1,2,12,0,0.0,1.1380000000000001
2011,1,2,12,5,0.0,1.223
2011,1,2,12,10,0.0,1.306
2011,1,2,12,15,0.0,1.373
2011,1,2,12,20,0.0,1.449
2011,1,2,12,25,0.0,1.532
2011,1,2,12,30,0.0,1.635
2011,1,2,12,35,0.0,1.754
2011,1,2,12,40,0.0,1.873
2011,1,2,12,45,0.0,1.98
2011,1,2,12,50,0.0,2.078
2011,1,2,12,55,0.007,2.185
2011,1,2,13,0,0.016,2.285
2011,1,2,13,5,0.023,2.374
2011,1,2,13,10,0.029,2.441
2011,1,2,13,15,0.033,2.496
2011,1,2,13,20,0.037,2.5420000000000003
2011,1,2,13,25,0.039,2.569
2011,1,2,13,30,0.04,2.581
2011,1,2,13,35,0.04,2.584
2011,1,2,13,40,0.04,2.584
2011,1,2,13,45,0.039,2.569
2011,1,2,13,50,0.037,2.548
2011,1,2,13,55,0.037,2.545
2011,1,2,14,0,0.038,2.5540000000000003
2011,1,2,14,5,0.039,2.566
2011,1,2,14,10,0.04,2.585
2011,1,2,14,15,0.042,2.606
2011,1,2,14,20,0.043000000000000003,2.621
2011,1,2,14,25,0.045,2.646
2011,1,2,14,30,0.048,2.673
2011,1,2,14,35,0.049,2.691
2011,1,2,14,40,0.05,2.707
2011,1,2,14,45,0.051000000000000004,2.719
2011,1,2,14,50,0.052000000000000005,2.725
2011,1,2,14,55,0.052000000000000005,2.731
2011,1,2,15,0,0.053,2.743
2011,1,2,15,5,0.055,2.762
2011,1,2,15,10,0.057,2.783
2011,1,2,15,15,0.059000000000000004,2.807
2011,1,2,15,20,0.059000000000000004,2.813
2011,1,2,15,25,0.06,2.826
2011,1,2,15,30,0.063,2.862
2011,1,2,15,35,0.067,2.914
2011,1,2,15,40,0.076,3.015
2011,1,2,15,45,0.11,3.1710000000000003
2011,1,2,15,50,0.263,3.3810000000000002
2011,1,2,15,55,0.436,3.619
2011,1,2,16,0,0.6,3.845
2011,1,2,16,5,0.762,4.0680000000000005
2011,1,2,16,10,0.9390000000000001,4.257
2011,1,2,16,15,1.1420000000000001,4.4190000000000005
2011,1,2,16,20,1.318,4.559
2011,1,2,16,25,1.498,4.702
2011,1,2,16,30,1.686,4.852
2011,1,2,16,35,1.843,4.977
2011,1,2,16,40,1.958,5.069
2011,1,2,16,45,2.023,5.12
2011,1,2,16,50,2.035,5.13
2011,1,2,16,55,2.012,5.111
2011,1,2,17,0,1.981,5.087
2011,1,2,17,5,1.977,5.0840000000000005
2011,1,2,17,10,2.031,5.127
2011,1,2,17,15,2.1310000000000002,5.206
2011,1,2,17,20,2.313,5.316
2011,1,2,17,25,2.577,5.465
2011,1,2,17,30,2.966,5.6850000000000005
2011,1,2,17,35,3.5060000000000002,5.99
2011,1,2,17,40,4.221,6.3660000000000005
2011,1,2,17,45,5.096,6.7410000000000005
2011,1,2,17,50,5.815,7.049
2011,1,2,17,55,6.328,7.269
2011,1,2,18,0,6.817,7.446
2011,1,2,18,5,7.311,7.614
2011,1,2,18,10,7.806,7.782
2011,1,2,18,15,8.275,7.94
2011,1,2,18,20,8.707,8.087
2011,1,2,18,25,9.023,8.194
2011,1,2,18,30,9.257,8.273
2011,1,2,18,35,9.5,8.355
2011,1,2,18,40,9.793000000000001,8.456
2011,1,2,18,45,10.086,8.557
2011,1,2,18,50,10.371,8.655
2011,1,2,18,55,10.69,8.764
2011,1,2,19,0,11.028,8.88
2011,1,2,19,5,11.304,8.975
2011,1,2,19,10,11.536,9.054
2011,1,2,19,15,11.741,9.124
2011,1,2,19,20,11.927,9.188
2011,1,2,19,25,12.095,9.246
2011,1,2,19,30,12.246,9.298
2011,1,2,19,35,12.352,9.335
2011,1,2,19,40,12.378,9.344
2011,1,2,19,45,12.351,9.335
2011,1,2,19,50,12.379,9.344
2011,1,2,19,55,12.450000000000001,9.368
2011,1,2,20,0,12.485,9.381
2011,1,2,20,5,12.458,9.372
2011,1,2,20,10,12.467,9.375
2011,1,2,20,15,12.568,9.411
2011,1,2,20,20,12.686,9.469
2011,1,2,20,25,12.81,9.53
